county,zoning_source,zone_code,geometry,fillColor,stroke,stroke-width
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.81164271 27.93051264, -82.81167236 27.93051882, -82.81169297 27.93050557, -82.81170042 27.93048223, -82.81169129 27.93045949, -82.81145058 27.93024493, -82.81142821 27.93023805, -82.81140644 27.93024664, -82.81134405 27.93034484, -82.811346 27.93037276, -82.81164271 27.93051264))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.82153437 27.92515416, -82.82211508 27.92532769, -82.82214525 27.92513806, -82.82215182 27.92499362, -82.82157787 27.92499202, -82.82155197 27.92500767, -82.82153724 27.9250341, -82.82153437 27.92515416))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80983952 27.93132064, -82.81208261 27.9323658, -82.81212058 27.93236848, -82.81214197 27.93235307, -82.81214501 27.93232263, -82.81212482 27.93230258, -82.80991075 27.9312696, -82.80985577 27.93125025, -82.8098371 27.93125648, -82.80981858 27.93127715, -82.80981664 27.93129449, -82.80983952 27.93132064))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.81798712 27.92570201, -82.81803447 27.92561729, -82.81785561 27.92561835, -82.81785596 27.92570236, -82.81788367 27.92573792, -82.81790462 27.92574706, -82.81793871 27.92574697, -82.81796862 27.92573064, -82.81798712 27.92570201))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80888751 27.93700973, -82.80888663 27.93689131, -82.80874039 27.93689217, -82.80873912 27.9370106, -82.80888751 27.93700973))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.81189494 27.93604467, -82.81187081 27.93608511, -82.81188579 27.93612975, -82.81191974 27.93614706, -82.81199783 27.93613757, -82.81226953 27.93602595, -82.81242721 27.93595037, -82.81257419 27.93585563, -82.81270107 27.93574996, -82.81275436 27.93569337, -82.81285137 27.93556043, -82.81285791 27.93553021, -82.81284871 27.9355007, -82.81282617 27.93547954, -82.81280651 27.93547293, -82.81276638 27.93548068, -82.81236669 27.93576683, -82.81189494 27.93604467))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.81216174 27.92775295, -82.81253635 27.92775739, -82.81256234 27.92775135, -82.81258218 27.92773349, -82.81259091 27.92770827, -82.81258921 27.92714714, -82.81257595 27.92711801, -82.81255976 27.92710392, -82.81253978 27.92709607, -82.81250781 27.92709777, -82.81247417 27.92712342, -82.81213366 27.92770298, -82.81213723 27.92773728, -82.81216174 27.92775295))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80108288 27.93422299, -82.80107868 27.93468229, -82.80174449 27.93468709, -82.8017409 27.93508038, -82.8024067 27.93508516, -82.80241761 27.93388878, -82.80108601 27.9338792, -82.80107529 27.93381374, -82.80104497 27.93375474, -82.80092625 27.93364084, -82.8008737 27.93355788, -82.80084373 27.93346437, -82.80083825 27.93336632, -82.80100554 27.9317914, -82.8007932 27.9317763, -82.8005019 27.93506852, -82.80088899 27.93507167, -82.80089675 27.93421907, -82.80108288 27.93422299))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.81088813 27.93549825, -82.81115 27.93534256, -82.8108381 27.93536233, -82.81088813 27.93549825))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80972169 27.93118413, -82.80903886 27.93086314, -82.80900646 27.93087198, -82.80899514 27.93088855, -82.80899382 27.93090763, -82.80900364 27.93092691, -82.8096721 27.93123885, -82.80969147 27.93124089, -82.80972189 27.93122876, -82.80973149 27.93120054, -82.80972169 27.93118413))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80000182 27.94275713, -82.80001038 27.94290199, -82.80001077 27.94348938, -82.80030033 27.94349177, -82.80029534 27.94264955, -82.79998896 27.94264151, -82.80000182 27.94275713))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.81280491 27.93704509, -82.81261105 27.93712573, -82.81240863 27.93718151, -82.8123052 27.93719979, -82.81438456 27.93723739, -82.81436872 27.93719073, -82.81434374 27.93716337, -82.81410144 27.93706579, -82.81359806 27.93684323, -82.81358243 27.93682407, -82.81362552 27.93678806, -82.81365298 27.93673289, -82.81370224 27.93669409, -82.81376364 27.93662221, -82.81380014 27.93653398, -82.81388646 27.93648121, -82.81392602 27.93638746, -82.81395982 27.93635151, -82.81407302 27.93616655, -82.8140941 27.93608667, -82.81412472 27.93603973, -82.81416163 27.9360065, -82.81431193 27.93581308, -82.81440058 27.93565853, -82.81444679 27.93562525, -82.81464948 27.93539851, -82.8147018 27.93535419, -82.81475127 27.9353429, -82.81501028 27.93519284, -82.8150505 27.9351871, -82.81509704 27.93519782, -82.81515885 27.93518095, -82.81524217 27.93514195, -82.815279 27.93509773, -82.81533442 27.93505339, -82.8153589 27.93501474, -82.81537672 27.93491287, -82.81542575 27.93484381, -82.8154684 27.93475004, -82.81551469 27.93472777, -82.81557355 27.93473017, -82.81564461 27.93470774, -82.81570628 27.93467162, -82.81574016 27.93464667, -82.81577085 27.93461073, -82.81579827 27.93455005, -82.81584123 27.93449754, -82.81602043 27.93444147, -82.81609116 27.93437504, -82.81613084 27.93429779, -82.81616691 27.9341518, -82.81616354 27.93411606, -82.81613519 27.93405297, -82.81609712 27.93393218, -82.81612095 27.93380551, -82.81612055 27.93375326, -82.81617246 27.93365393, -82.81621158 27.93350242, -82.81630989 27.93339732, -82.81637093 27.93327869, -82.81641325 27.93314091, -82.81649535 27.93293964, -82.81651922 27.93281848, -82.81653741 27.93276611, -82.81655578 27.9327385, -82.81656399 27.93259543, -82.81650439 27.93249401, -82.81650627 27.93233173, -82.81649336 27.93226304, -82.81649584 27.93218051, -82.81652307 27.93209509, -82.81655664 27.93202888, -82.81661186 27.93195979, -82.81664892 27.93194581, -82.81665804 27.93192375, -82.81662587 27.93176442, -82.8166037 27.93169854, -82.81662814 27.93165439, -82.81664061 27.93154249, -82.81663227 27.93135405, -82.81665786 27.93115311, -82.81671743 27.93104429, -82.81684266 27.93086493, -82.81691389 27.93081363, -82.81697042 27.93071307, -82.81734375 27.93037478, -82.81744342 27.93029631, -82.81750569 27.93021205, -82.81670682 27.93020272, -82.81671441 27.93041474, -82.81666856 27.93062834, -82.81658828 27.93080703, -82.81637104 27.93114, -82.81627545 27.93131274, -82.81619595 27.93149179, -82.816137 27.93166268, -82.81608992 27.93185055, -82.8160766 27.93194603, -82.81597558 27.93295323, -82.81594328 27.93314676, -82.81589616 27.93333791, -82.81583474 27.93352498, -82.81576188 27.93370189, -82.81567604 27.93387333, -82.81553206 27.93408941, -82.81542989 27.93420331, -82.81537266 27.93425417, -82.81524752 27.93434222, -82.81489578 27.93454573, -82.8145981 27.93474359, -82.81444774 27.93486918, -82.81430282 27.93505998, -82.81417816 27.93526695, -82.81408537 27.93545635, -82.81390756 27.93588803, -82.8138081 27.93607269, -82.81363036 27.93633601, -82.81343022 27.93657009, -82.81323967 27.93675238, -82.8129872 27.93694138, -82.81280491 27.93704509))","rgb(94,198,153)",#747474,3
